type,radius_m,length_m
straight,0,27.4472
corner,1.8669,4.0183
corner,5.174,13.0353
straight,0,13.2842
corner,17.9324,10.7899
straight,0,11.8186
corner,15.5067,11.8897
straight,0,12.4028
corner,16.4948,12.7584
straight,0,18.2042
corner,5.367,8.509
straight,0,4.9454
corner,7.2923,17.2364
straight,0,8.2017
corner,14.5136,11.7526
straight,0,12.5578
corner,5.9106,10.4089
corner,3.1928,7.7699
corner,10.9906,18.9433
straight,0,13.6423
straight,0,10.795
corner,11.1023,11.8212
corner,8.9154,10.0889
corner,7.8715,10.1346
straight,0,12.9718
corner,12.192,12.3241
straight,0,11.0465
corner,17.4168,10.2514
straight,0,16.2367
corner,11.3309,8.3439
straight,0,9.2062
corner,5.8852,3.3934
straight,0,12.4689
corner,5.8852,3.3934
straight,0,10.8102
corner,9.6241,3.302
straight,0,19.6621
straight,0,6.5938
corner,12.6797,39.8374
straight,0,5.1537
corner,18.0975,11.9685
straight,0,5.9817
corner,16.3982,11.684
straight,0,9.2075
corner,17.7978,18.0137
corner,21.7805,19.9212
straight,0,16.5125
corner,11.8491,9.8781
straight,0,8.0137
corner,6.4008,7.3965
corner,9.464,11.3513
corner,12.2692,11.4021
corner,20.1905,18.0289
corner,38.4683,30.9067
straight,0,11.143
corner,7.0917,6.8097
straight,0,4.8997
corner,9.5987,11.2395
corner,9.5987,11.2395
straight,0,8.5547
corner,24.7701,16.5684
straight,0,9.1719
corner,26.5913,19.8882
corner,42.7838,20.5994
straight,0,12.4495
