type,radius_m,length_m
straight,0,19.36
corner,13.51,15.76
straight,0,10.73
corner,12.72,12.17
straight,0,17.45
corner,11.7,8.91
straight,0,18.82
corner,13.53,10.3
straight,0,18.82
corner,15.88,6.05
straight,0,75.51
corner,37.32,23.21
corner,25.53,30.73
straight,0,26.27
corner,19.89,22.89
straight,0,27.47
corner,24.34,15.28
straight,0,11.62
corner,17.21,10.93
corner,9.43,11.28
corner,9.97,11.34
corner,27.13,39.51
corner,7.12,7.55
straight,0,217.19
straight,0,16.1
corner,6.34,9.95
straight,0,7.19
corner,14.44,14.86
straight,0,17.07
corner,8.43,26.48
corner,10.95,17.21
corner,6.18,9.71
corner,38.97,11.13
straight,0,24.88
corner,84.89,20.37
straight,0,18.32
corner,8.58,9.34
straight,0,16.32
corner,12.55,10.63
corner,23.45,9.29
straight,0,25.05
corner,36.36,9.18
straight,0,57.38
corner,35.72,10.16
straight,0,7.38
corner,11.48,9.12
corner,8.46,10.59
corner,9.53,10.29
corner,13.03,11.96
corner,15.94,7.18
straight,0,35.98
corner,9,11.79
corner,16.66,37.84
corner,13.43,14.81
straight,0,39.26
corner,12.11,13.87
corner,11.12,12.87
corner,6.13,8.18
straight,0,7.88
corner,10.69,10.44
straight,0,12.47
corner,9.8,11.36
straight,0,10.49
corner,8.3,12.02
straight,0,6.92
corner,8.27,10.77
straight,0,8.85
corner,6.94,14.53
