type,radius_m,length_m
straight,0,329.36688
corner,22.4028,48.21936
corner,62.08776,156.42336
straight,0,159.4104
corner,215.1888,129.47904
straight,0,141.82344
corner,186.0804,142.67688
straight,0,148.83384
corner,197.93712,153.10104
straight,0,218.45016
corner,64.40424,102.108
straight,0,59.34456
corner,87.50808,206.83728
straight,0,98.41992
corner,174.16272,141.03096
straight,0,150.69312
corner,70.92696,124.90704
corner,38.31336,93.23832
corner,131.88696,227.31984
straight,0,163.70808
straight,0,129.54
corner,133.22808,141.85392
corner,106.9848,121.06656
corner,94.45752,121.6152
straight,0,155.66136
corner,146.304,147.88896
straight,0,132.55752
corner,209.00136,123.01728
straight,0,194.840352
corner,135.97128,100.1268
straight,0,110.47476
corner,70.62216,40.72128
straight,0,149.62632
corner,70.62216,40.72128
straight,0,129.72288
corner,115.48872,39.624
straight,0,235.94568
straight,0,79.12608
corner,152.15616,478.04832
straight,0,61.84392
corner,217.17,143.62176
straight,0,71.7804
corner,196.77888,140.208
straight,0,110.49
corner,213.57336,216.16416
corner,261.366,239.05464
straight,0,198.15048
corner,142.1892,118.53672
straight,0,96.1644
corner,76.8096,88.75776
corner,113.56848,136.21512
corner,147.230592,136.82472
corner,242.28552,216.34704
corner,461.6196,370.88064
straight,0,133.71576
corner,85.10016,81.71688
straight,0,58.79592
corner,115.18392,134.874
corner,115.18392,134.874
straight,0,102.65664
corner,297.24096,198.82104
straight,0,110.06328
corner,319.09512,238.6584
corner,513.40512,247.1928
straight,0,365.39424
